source_asset_id,target_asset_id,connection_type,relationship_strength
AST_0001,AST_0002,Supplies,0.63
AST_0001,AST_0003,Supplies,0.67
AST_0001,AST_0004,Supplies,0.76
AST_0005,AST_0006,Supplies,0.72
AST_0009,AST_0010,Supplies,0.51
AST_0009,AST_0011,Supplies,0.91
AST_0009,AST_0012,Supplies,0.95
AST_0013,AST_0014,Supplies,0.57
AST_0017,AST_0018,Supplies,0.78
AST_0017,AST_0019,Supplies,0.55
AST_0017,AST_0020,Supplies,0.84
AST_0021,AST_0022,Supplies,0.64
AST_0025,AST_0026,Supplies,0.83
AST_0025,AST_0027,Supplies,0.86
AST_0028,AST_0029,Supplies,0.88
AST_0028,AST_0030,Supplies,0.55
AST_0028,AST_0031,Supplies,0.96
AST_0032,AST_0033,Supplies,0.62
AST_0034,AST_0035,Supplies,0.52
AST_0038,AST_0039,Supplies,0.78
AST_0038,AST_0040,Supplies,0.69
AST_0041,AST_0042,Supplies,0.91
AST_0041,AST_0043,Supplies,0.9
AST_0041,AST_0044,Supplies,0.66
AST_0041,AST_0045,Supplies,0.98
AST_0046,AST_0047,Supplies,0.65
AST_0048,AST_0049,Supplies,0.76
AST_0046,AST_0047,Supplies,0.65
AST_0001,AST_0002,Supplies,0.63
AST_0017,AST_0019,Supplies,0.55
