asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id,degrade_rate
AST_0001,SITE_A,BLD_A1,Chiller-01,Chiller,Daikin,2021-12-11,715.2,,0.0019855256494009186
AST_0002,SITE_A,BLD_A1,AHU-02,AHU,Trane,2018-07-27,39.1,AST_0001,0.0016417095529855294
AST_0003,SITE_A,BLD_A1,AHU-03,AHU,Daikin,2022-09-26,9.5,AST_0001,0.0011755789068433509
AST_0004,SITE_A,BLD_A1,AHU-04,AHU,Johnson Controls,2020-03-26,37.4,AST_0001,0.0014657976801209969
AST_0005,SITE_A,BLD_A1,Pump-05,Pump,Siemens,2021-04-14,30.5,,0.0014873356592253358
AST_0006,SITE_A,BLD_A1,EnergyMeter-06,EnergyMeter,Johnson Controls,2023-05-18,,AST_0005,0.0005138155859962909
AST_0007,SITE_A,BLD_A1,EnvSensor-07,EnvSensor,Carrier,2020-05-13,,,0.0003274263220256122
AST_0008,SITE_A,BLD_A1,EnvSensor-08,EnvSensor,Daikin,2022-06-14,,,0.000391209407318471
AST_0009,SITE_A,BLD_A2,Chiller-09,Chiller,Johnson Controls,2023-05-19,667.0,,0.001130885803348345
AST_0010,SITE_A,BLD_A2,AHU-10,AHU,Johnson Controls,2020-12-31,10.4,AST_0009,0.001524573429863682
AST_0011,SITE_A,BLD_A2,AHU-11,AHU,Carrier,2023-07-23,38.9,AST_0009,0.000988738037207228
AST_0012,SITE_A,BLD_A2,AHU-12,AHU,Daikin,2023-06-16,21.4,AST_0009,0.0007842070386264285
AST_0013,SITE_A,BLD_A2,Pump-13,Pump,Johnson Controls,2018-10-13,52.8,,0.0009630549584814145
AST_0014,SITE_A,BLD_A2,EnergyMeter-14,EnergyMeter,Johnson Controls,2022-04-20,,AST_0013,0.0003185759594361653
AST_0015,SITE_A,BLD_A2,EnvSensor-15,EnvSensor,Carrier,2023-02-07,,,0.0003100795306006748
AST_0016,SITE_A,BLD_A2,EnvSensor-16,EnvSensor,Carrier,2020-07-16,,,0.0003496779404185603
AST_0017,SITE_B,BLD_B1,Chiller-17,Chiller,Siemens,2023-01-26,373.0,,0.0019602423567574583
AST_0018,SITE_B,BLD_B1,AHU-18,AHU,Daikin,2018-11-04,12.0,AST_0017,0.0005110434046265083
AST_0019,SITE_B,BLD_B1,AHU-19,AHU,Daikin,2022-09-28,28.3,AST_0017,0.0015577480679395026
AST_0020,SITE_B,BLD_B1,AHU-20,AHU,Trane,2022-09-14,21.1,AST_0017,0.0013531117939293406
AST_0021,SITE_B,BLD_B1,Pump-21,Pump,Carrier,2019-06-25,70.2,,0.001353753929829012
AST_0022,SITE_B,BLD_B1,EnergyMeter-22,EnergyMeter,Carrier,2023-03-20,,AST_0021,0.0004824994287080127
AST_0023,SITE_B,BLD_B1,EnvSensor-23,EnvSensor,Johnson Controls,2021-10-31,,AST_9999,0.0002660738201973988
AST_0024,SITE_B,BLD_B1,EnvSensor-24,EnvSensor,Daikin,2019-06-13,,,0.00019118502941878367
AST_0025,SITE_C,BLD_C1,Chiller-25,Chiller,Daikin,2018-03-09,462.0,,0.0011647939437931997
AST_0026,SITE_C,BLD_C1,AHU-26,AHU,Johnson Controls,2023-12-24,13.2,AST_0025,0.000587454112533599
AST_0027,SITE_C,BLD_C1,AHU-27,AHU,Siemens,2023-02-26,15.3,AST_0025,0.0014928747720903426
AST_0028,SITE_C,BLD_C1,Chiller-28,Chiller,Trane,2018-10-05,670.3,,0.0019293330185565592
AST_0029,SITE_C,BLD_C1,AHU-29,AHU,Johnson Controls,2020-06-13,33.5,AST_0028,0.0007504593798615558
AST_0030,SITE_C,BLD_C1,AHU-30,AHU,Trane,2018-02-19,8.2,AST_0028,0.0015835390258946754
AST_0031,SITE_C,BLD_C1,AHU-31,AHU,Daikin,2020-10-13,10.6,AST_0028,0.0012515671626550453
AST_0032,SITE_C,BLD_C1,Pump-32,Pump,Carrier,2020-12-30,50.2,,0.001209633961754372
AST_0033,SITE_C,BLD_C1,EnergyMeter-33,EnergyMeter,Daikin,2020-03-05,,AST_0032,0.00041514129655944416
AST_0034,SITE_C,BLD_C1,Pump-34,Pump,Trane,2021-08-28,17.9,,0.0007888094433928245
AST_0035,SITE_C,BLD_C1,EnergyMeter-35,EnergyMeter,Trane,2020-09-02,,AST_0034,0.0005542903453538034
AST_0036,SITE_C,BLD_C1,EnvSensor-36,EnvSensor,Siemens,2021-06-10,,,0.00017976098843785587
AST_0037,SITE_C,BLD_C1,EnvSensor-37,EnvSensor,Daikin,2022-10-07,,,0.0003336252711897384
AST_0038,SITE_C,BLD_C2,Chiller-38,Chiller,Trane,2022-04-27,469.6,,0.0012628106551367704
AST_0039,SITE_C,BLD_C2,AHU-39,AHU,Carrier,2020-09-10,21.0,AST_0038,0.0008035450471928455
AST_0040,SITE_C,BLD_C2,AHU-40,AHU,Siemens,2022-05-07,25.3,AST_0038,0.0007651591744088476
AST_0041,SITE_C,BLD_C2,Chiller-41,Chiller,Trane,2020-10-16,655.1,,0.0020230870251165926
AST_0042,SITE_C,BLD_C2,AHU-42,AHU,Daikin,2020-08-08,27.0,AST_0041,0.0013761469533691032
AST_0043,SITE_C,BLD_C2,AHU-43,AHU,Carrier,2021-11-30,8.0,AST_0041,0.0011237111032559146
AST_0044,SITE_C,BLD_C2,AHU-44,AHU,Daikin,2018-04-02,22.3,AST_0041,0.000994791818499178
AST_0045,SITE_C,BLD_C2,AHU-45,AHU,Daikin,2018-11-14,8.6,AST_0041,0.001381466858266568
AST_0046,SITE_C,BLD_C2,Pump-46,Pump,Carrier,2019-10-22,62.3,,0.0011549916872557395
AST_0047,SITE_C,BLD_C2,EnergyMeter-47,EnergyMeter,Siemens,2022-01-07,,AST_0046,0.00011140193551484875
AST_0048,SITE_C,BLD_C2,Pump-48,Pump,Johnson Controls,2018-11-30,53.4,,0.001852376363600458
AST_0049,SITE_C,BLD_C2,EnergyMeter-49,EnergyMeter,Siemens,2019-04-27,,AST_0048,0.00034332916541908015
AST_0050,SITE_C,BLD_C2,EnvSensor-50,EnvSensor,Carrier,2022-04-23,,,0.00038134793649249486
AST_0051,SITE_C,BLD_C2,EnvSensor-51,EnvSensor,Johnson Controls,2019-10-17,,,0.00024204682031708617
